year	2919	1230
state	2189	925
new	2014	932
percent	1949	535
peopl	1743	829
report	1727	857
million	1628	649
govern	1617	685
presid	1617	774
two	1570	931
nation	1538	863
say	1523	834
offici	1509	777
last	1462	905
time	1265	787
unit	1178	567
day	1146	707
soviet	1141	245
bush	1108	253
first	1091	687
polic	1084	345
american	1000	512
week	994	649
compani	991	400
offic	956	543
go	944	592
today	941	546
work	940	566
hou	938	436
month	907	597
call	903	625
countri	895	518
plan	895	510
billion	892	307
forc	877	481
three	871	618
group	866	498
trade	851	316
member	844	484
feder	841	445
citi	832	420
market	827	344
make	822	581
told	818	545
parti	810	315
thursday	805	499
court	789	299
price	782	303
tuesday	760	469
take	726	553
issu	721	464
support	720	432
get	714	486
monday	709	452
like	707	479
friday	704	438
leader	703	382
wednesday	699	475
made	692	522
home	686	408
depart	682	364
meet	680	366
union	678	301
news	672	405
charg	663	376
kill	655	360
end	652	477
rate	650	234
york	645	363
polit	644	354
servic	644	383
democrat	626	290
ask	622	444
congress	616	285
right	612	377
program	609	287
world	604	373
show	602	381
stock	601	203
increa	599	324
close	598	388
case	596	330
help	596	433
militari	596	261
expect	594	433
gener	586	391
vote	583	237
bank	581	216
south	581	237
aid	570	237
administr	567	333
back	566	442
order	566	320
secur	566	318
busi	563	330
public	562	383
think	561	365
elect	560	256
committ	557	257
talk	554	311
industri	550	316
west	541	265
major	538	385
foreign	537	301
campaign	536	215
law	533	295
war	531	286
author	528	374
dont	521	358
spokesman	521	375
oper	513	328
system	510	278
continu	504	382
four	504	375
econom	503	291
found	503	355
share	503	242
investig	501	270
point	499	303
senat	498	194
good	497	345
bill	495	198
move	495	362
worker	494	197
famili	493	265
defen	492	234
tri	486	384
come	482	379
mr	482	173
drug	481	163
air	480	246
chang	480	339
live	480	340
return	480	337
relea	478	313
agenc	476	292
announc	474	325
fire	472	221
area	471	305
dollar	471	167
minist	470	252
school	470	212
five	469	357
offer	469	248
rule	469	286
open	467	334
japan	466	139
white	465	256
propo	463	252
control	461	301
interest	459	289
allow	458	337
sale	457	210
problem	455	306
attorney	454	227
product	454	230
record	453	263
money	452	282
reagan	450	166
dukaki	449	74
need	449	335
employ	448	209
intern	446	341
chief	440	324
